player_name_norm,bpm,vorp
keldon johnson,0.9,1.4
sion james,-2.0,0.0
bub carrington,-4.7,-1.6
julian champagnie,1.4,1.9
kris dunn,-0.8,0.6
reed sheppard,2.7,2.5
jeremiah fears,-2.7,-0.4
jake laravia,-1.2,0.4
donte divincenzo,0.8,1.7
bruce brown,-2.4,-0.2
brandin podziemski,0.2,1.3
jamal shead,-2.3,-0.1
javonte green,2.1,1.5
oso ighodaro,0.1,0.9
desmond bane,1.4,2.3
toumani camara,-1.0,0.7
jay huff,0.4,1.1
mikal bridges,2.7,3.2
kon knueppel,2.8,3.1
derik queen,-0.8,0.6
scottie barnes,4.2,4.2
tim hardaway,-0.7,0.7
collin gillespie,2.5,2.6
sandro mamukelashvili,2.8,2.1
amen thompson,2.6,3.4
julius randle,1.5,2.3
payton pritchard,2.3,2.8
royce oneale,0.7,1.5
luke kennard,0.1,0.9
josh okogie,-1.2,0.3
aj green,-3.3,-0.8
sam hauser,0.6,1.3
wendell carter,-0.6,0.8
ron holland,-2.0,0.0
kevin durant,4.5,4.7
nickeil alexanderwalker,1.2,2.1
demar derozan,-0.1,1.1
derrick white,3.2,3.5
naz reid,0.9,1.5
tristan da silva,-0.6,0.7
cason wallace,1.2,1.7
donovan clingan,3.0,2.6
baylor scheierman,0.6,0.9
duncan robinson,0.8,1.5
brandon ingram,0.5,1.7
kyle filipowski,-1.1,0.4
mouhamed gueye,-1.3,0.2
miles bridges,1.1,1.9
max christie,-1.5,0.3
harrison barnes,-0.1,1.0
matas buzelis,-1.0,0.5
kelel ware,2.1,1.8
jabari smith,-0.7,0.9
jarace walker,-2.4,-0.2
cj mccollum,-0.3,1.0
dyson daniels,1.3,2.1
gradey dick,-3.6,-0.4
neemias queta,2.8,2.4
rudy gobert,1.0,1.8
clint capela,0.4,0.6
jaime jaquez,0.1,1.1
brook lopez,-0.9,0.5
nique clifford,-4.9,-1.4
sidy cissoko,-4.0,-0.7
jamal murray,4.1,4.1
karlanthony towns,3.3,3.1
vj edgecombe,-0.5,1.0
brice sensabaugh,-2.6,-0.3
quentin grimes,-1.6,0.2
ryan rollins,0.2,1.3
maxime raynaud,-2.4,-0.2
naji marshall,-0.6,0.8
onyeka okongwu,0.7,1.6
will riley,-4.5,-1.0
nicolas batum,-1.0,0.3
hugo gonzalez,-1.5,0.1
jalen brunson,3.1,3.3
moussa diabate,1.7,1.8
bam adebayo,2.0,2.4
gary payton,1.9,1.1
ausar thompson,3.1,2.4
jaden mcdaniels,-0.3,1.0
precious achiuwa,-1.6,0.2
jalen johnson,4.2,4.0
cam spencer,2.2,1.8
deandre ayton,-0.9,0.6
daniss jenkins,-0.7,0.5
lamelo ball,4.7,3.4
ace bailey,-4.4,-1.2
jordan clarkson,-3.3,-0.4
alperen sengun,4.2,3.7
patrick williams,-4.5,-0.9
paolo banchero,1.4,2.1
keon ellis,-0.5,0.6
jakobe walter,-0.3,0.6
saddiq bey,0.5,1.4
deaaron fox,2.2,2.4
dominick barlow,-1.1,0.4
carter bryant,-3.0,-0.2
bones hyland,1.7,1.1
jaylen brown,3.3,3.3
myles turner,-0.9,0.5
isaiah joe,2.5,1.7
adem bona,-2.9,-0.3
simone fontecchio,0.5,0.7
ryan dunn,-0.9,0.4
immanuel quickley,2.4,2.5
pelle larsson,-1.2,0.4
jalen duren,5.0,3.5
tyrese maxey,5.4,4.9
jordan goodwin,1.8,1.5
dennis schroder,-2.2,-0.1
james harden,3.9,3.6
dru smith,2.2,1.2
davion mitchell,-0.9,0.6
cooper flagg,1.4,2.0
donovan mitchell,5.1,4.2
jose alvarado,-1.0,0.3
will richard,-1.7,0.1
luka garza,2.4,1.2
justin champagnie,-0.4,0.6
walter clayton,-4.3,-0.8
mohamed diawara,-1.7,0.0
nic claxton,0.9,1.4
kyle kuzma,-2.3,-0.1
chet holmgren,4.2,3.1
ryan kalkbrenner,1.8,1.4
jaylen wells,-3.1,-0.5
kevin huerter,-0.6,0.6
luguentz dort,-2.0,0.0
ayo dosunmu,1.0,1.4
dylan harper,1.4,1.3
john collins,-0.5,0.7
klay thompson,-1.4,0.2
stephon castle,1.9,2.0
jaylen clark,-2.4,-0.1
jock landale,-0.1,0.7
andrew wiggins,1.2,1.7
gui santos,-0.6,0.5
draymond green,-1.4,0.3
collin sexton,0.6,1.1
luke kornet,3.6,2.0
